,Predict,Low,Up
2028-05-01,433.8998494492175,427.76820273146967,440.0314961669654
2028-06-01,433.12313219076873,426.9462420419177,439.3000223396198
2028-07-01,431.43966879673513,425.2178839825174,437.6614536109529
2028-08-01,429.3473724901028,423.0810242234295,435.61372075677616
2028-09-01,427.9026222179874,421.5920298362447,434.2132145997301
2028-10-01,428.17185183835943,421.81732564666686,434.526378030052
2028-11-01,429.6995027380968,423.30134550309316,436.0976599731004
2028-12-01,431.126376442561,424.6750848429689,437.57766804215316
2029-01-01,432.3249096435982,425.82448429826894,438.8253349889274
2029-02-01,433.068580397562,426.51979123113676,439.61736956398727
2029-03-01,433.970346092721,427.3739429500759,440.5667492353661
2029-04-01,435.52054819291857,428.87703230015563,442.1640640856815
2029-05-01,436.12121438229957,429.4309999465252,442.8114288180739
2029-06-01,435.3447859412681,428.6082359147911,442.08133596774513
2029-07-01,433.66194853248777,426.87939861950383,440.4444984454717
2029-08-01,431.5704302330506,424.7421996018238,438.3986608642774
2029-09-01,430.12621718221845,423.2526139244116,436.9998204400253
2029-10-01,430.3953466912529,423.47667054496725,437.3140228375385
2029-11-01,431.92242954363104,424.95897331377637,438.8858857734857
2029-12-01,433.348772674101,426.3313315201179,440.3662138280841
2030-01-01,434.54686020812096,427.4792970934002,441.61442332284173
2030-02-01,435.2902544328019,428.1733111710057,442.40719769459804
2030-03-01,436.1916848120704,429.0260849135482,443.3572847105926
2030-04-01,437.741310479387,430.52753732753513,444.95508363123884
2030-05-01,438.34175331483107,431.080206503425,445.6033001262371
2030-06-01,437.5656135838221,430.25664347083574,444.87458369680843
2030-07-01,435.8834019275262,428.527332853403,443.23947100164946
2030-08-01,433.79266134598714,426.389801985125,441.19552070684927
2030-09-01,432.3489853166759,424.8996339454352,439.7983366879166
2030-10-01,432.6180147515986,425.1224618671023,440.1135676360949
2030-11-01,434.1445297678424,426.6030594457062,441.6860000899786
2030-12-01,435.5703425216087,427.97401949961494,443.1666655436025
2031-01-01,436.76798455433,429.1205486040554,444.4154205046046
2031-02-01,437.5111023525536,429.8132704151746,445.20893428993264
2031-03-01,438.4121975406168,430.6646697557185,446.15972532551507
2031-04-01,439.96124698939536,432.164490974445,447.7580030043457
2031-05-01,440.5614665539553,432.7158690066783,448.4070641012323
2031-06-01,439.78561542561374,431.8915155934476,447.6797152577799
2031-07-01,438.1040292891203,430.1617414797565,446.04631709848417
2031-08-01,436.0140661362898,428.02388974661636,444.0042425259632
2031-09-01,434.57092692881145,426.5331515428059,442.608702314817
2031-10-01,434.83985632683425,426.7547642426536,442.9249484110149
2031-11-01,436.36580371809,428.2336712514786,444.49793618470136
2031-12-01,437.7910862923698,429.6032236170021,445.97894896773755
2032-01-01,438.98828298944926,430.7483186129427,447.22824736595584
2032-02-01,439.7311244640031,431.43975307440485,448.0224958536013
2032-03-01,440.6318845854996,432.28978535567785,448.9739838153214
2032-04-01,442.1803580300034,433.7879844840349,450.5727315759719
2032-05-01,442.7803544067011,434.33808172540654,451.2226270879957
2032-06-01,442.00479177371193,433.5129492836978,450.49663426372604
2032-07-01,440.32383092442535,431.7827239675614,448.8649378812893
2032-08-01,438.2346449112214,429.6445645823534,446.8247252400894
2032-09-01,436.7920423259621,428.15327041794296,445.4308142339812
2032-10-01,437.0608717242832,428.3736831734087,445.7480602751576
2032-11-01,438.5862517016186,429.850915843293,447.3215875599442
2032-12-01,440.0110042935559,431.21905627642457,448.80295231068726
2033-01-01,441.2077558205888,432.36272288208744,450.0527887590901
2033-02-01,441.95032107422196,433.0528778068583,450.8477643415856
2033-03-01,442.85074625374426,433.9015528492143,451.79993965827424
2033-04-01,444.3986439081568,435.3981411695906,453.39914664672307
2033-05-01,444.9984171799833,435.9469699000934,454.04986445987316
2033-06-01,444.2231429350712,435.1210714919338,453.32521437820867
2033-07-01,442.54280714048235,433.39040878192617,451.69520549903854
2033-08-01,440.4543979779305,431.2519562941641,449.65683966169695
2033-09-01,439.0123318153507,429.760121545425,448.2645420852764
2033-10-01,439.2810612511543,429.9793506549745,448.58277184733413
2033-11-01,440.80587402555875,431.4549260971191,450.1568219539984
2033-12-01,442.2300968322241,432.82165413885656,451.6385395255916
2034-01-01,443.426403354744,433.96390035079884,452.8889063586892
2034-02-01,444.1686924901676,434.65278547776825,453.6845995025669
2034-03-01,445.06878285226173,435.5001147073296,454.63745099719387
2034-04-01,446.61610493068696,436.9951048798619,456.237104981512
